timestamp,frame,persons,persons_raw,fps,sampling_rate_hz,response_time_ms,avg_landmarks,hyst_enabled,hyst_m_in,hyst_m_out,hyst_window
1766077600.6307578,50,0,0,10.70087417167644,10.70087417167644,114.0899658203125,0,1,3,5,5
1766077600.727586,51,0,0,10.86290891200572,10.86290891200572,81.1607837677002,0,1,3,5,5
1766077600.828842,52,0,0,10.942048857192631,10.942048857192631,85.80517768859863,0,1,3,5,5
1766077600.929993,53,0,0,11.013809367550405,11.013809367550405,85.76583862304688,0,1,3,5,5
1766077601.0289888,54,0,0,11.125240394951474,11.125240394951474,82.45301246643066,0,1,3,5,5
1766077601.133108,55,0,0,11.140644952048046,11.140644952048046,88.65809440612793,0,1,3,5,5
1766077601.2650309,56,0,0,10.886292718025967,10.886292718025967,116.3179874420166,0,1,3,5,5
1766077601.361515,57,0,0,11.035238871184939,11.035238871184939,80.80315589904785,0,1,3,5,5
1766077601.463949,58,0,0,11.07601137736595,11.07601137736595,87.38994598388672,0,1,3,5,5
1766077601.5610392,59,0,0,11.193421557165841,11.193421557165841,81.63189888000488,0,1,3,5,5
1766077601.664039,60,0,0,11.21561957971693,11.21561957971693,87.6009464263916,0,1,3,5,5
1766077601.765718,61,0,0,11.25427559635175,11.25427559635175,86.19070053100586,0,1,3,5,5
1766077601.89887,62,0,0,10.978494245693327,10.978494245693327,117.69604682922363,0,1,3,5,5
1766077602.030575,63,0,0,10.742075094280699,10.742075094280699,116.08600616455078,0,1,3,5,5
1766077602.128395,64,0,0,10.8838052442988,10.8838052442988,82.24105834960938,0,1,3,5,5
1766077602.226242,65,0,0,11.00688801755997,11.00688801755997,82.54480361938477,0,1,3,5,5
1766077602.331232,66,0,0,11.022085474956025,11.022085474956025,89.6148681640625,0,1,3,5,5
1766077602.433612,67,0,0,11.07105134766078,11.07105134766078,86.8678092956543,0,1,3,5,5
1766077602.5610712,68,0,0,10.856267782790287,10.856267782790287,112.06722259521484,0,1,3,5,5
1766077602.659693,69,0,0,10.971322314573177,10.971322314573177,83.28604698181152,0,1,3,5,5
1766077602.758701,70,0,0,11.066512470089387,11.066512470089387,83.86993408203125,0,1,3,5,5
1766077602.860296,71,0,0,11.119861001828049,11.119861001828049,86.20691299438477,0,1,3,5,5
1766077602.9586291,72,0,0,11.211764728164493,11.211764728164493,83.06407928466797,0,1,3,5,5
1766077603.060214,73,0,0,11.24983140237939,11.24983140237939,86.26317977905273,0,1,3,5,5
1766077603.1603048,74,0,0,11.303119525811807,11.303119525811807,84.8701000213623,0,1,3,5,5
1766077603.260243,75,0,0,11.355050966930857,11.355050966930857,84.58495140075684,0,1,3,5,5
1766077603.35888,76,0,0,11.418171865448187,11.418171865448187,83.42885971069336,0,1,3,5,5
1766077603.462785,77,0,0,11.406325286710215,11.406325286710215,88.49787712097168,0,1,3,5,5
1766077603.55834,78,0,0,11.511505893672688,11.511505893672688,80.26885986328125,0,1,3,5,5
1766077603.66131,79,0,0,11.501761902975234,11.501761902975234,87.61119842529297,0,1,3,5,5
1766077603.760023,80,0,0,11.548173658655424,11.548173658655424,83.57095718383789,0,1,3,5,5
1766077603.862279,81,0,0,11.542461786946141,11.542461786946141,87.02421188354492,0,1,3,5,5
1766077603.960861,82,0,0,11.588306023388624,11.588306023388624,83.32705497741699,0,1,3,5,5
1766077604.063195,83,0,0,11.573194556641827,11.573194556641827,87.43405342102051,0,1,3,5,5
1766077604.16038,84,0,0,11.639342741524752,11.639342741524752,81.73489570617676,0,1,3,5,5
1766077604.2595909,85,0,0,11.669366804263884,11.669366804263884,83.7550163269043,0,1,3,5,5
1766077604.360706,86,0,0,11.668324216957718,11.668324216957718,85.77108383178711,0,1,3,5,5
1766077604.4580731,87,0,0,11.714777379789481,11.714777379789481,82.42082595825195,0,1,3,5,5
1766077604.560226,88,0,0,11.698071333508288,11.698071333508288,86.59720420837402,0,1,3,5,5
1766077604.663167,89,0,0,11.672445095303637,11.672445095303637,87.39876747131348,0,1,3,5,5
1766077604.761339,90,0,0,11.718598490108672,11.718598490108672,82.4131965637207,0,1,3,5,5
1766077604.860661,91,0,0,11.739433982700348,11.739433982700348,83.84370803833008,0,1,3,5,5
1766077604.959549,92,0,0,11.763496908211328,11.763496908211328,83.47201347351074,0,1,3,5,5
1766077605.059525,93,0,0,11.766989522669848,11.766989522669848,84.75708961486816,0,1,3,5,5
1766077605.162325,94,0,0,11.739651123941261,11.739651123941261,87.0048999786377,0,1,3,5,5
1766077605.258523,95,0,0,11.808059917069581,11.808059917069581,80.4910659790039,0,1,3,5,5
1766077605.3785632,96,0,0,11.59441212981621,11.59441212981621,103.39570045471191,0,1,3,5,5
